fear;inf,fear;3sg,fears;part,fearing;1sgp,feared
feature;inf,feature;3sg,features;part,featuring;1sgp,featured
feed;inf,feed;3sg,fees;part,feeing
feel;inf,feel;3sg,feels;part,feeling;1sgp,felt
fetch;inf,fetch;3sg,fetches;part,fetching;1sgp,fetched
fight;inf,fight;3sg,fights;part,fighting;1sgp,fought
figure;inf,figure;3sg,figures;part,figuring;1sgp,figured
file;inf,file;3sg,files;part,filing;1sgp,filed
fill;inf,fill;3sg,fills;part,filling;1sgp,filled
finance;inf,finance;3sg,finances;part,financing;1sgp,financed
find;inf,find;3sg,finds;part,finding;1sgp,found
fine;inf,fine;3sg,fines;part,fining;1sgp,fined
finish;inf,finish;3sg,finishes;part,finishing;1sgp,finished
fire;inf,fire;3sg,fires;part,firing;1sgp,fired
fit;inf,fit;3sg,fits;part,fitting;1sgp,fitted
fix;inf,fix;3sg,fixes;part,fixing;1sgp,fixed
flash;inf,flash;3sg,flashes;part,flashing;1sgp,flashed
flee;inf,flee;3sg,flees;part,fleeing;1sgp,fled
fling;inf,fling;3sg,flings;part,flinging;1sgp,flung
float;inf,float;3sg,floats;part,floating;1sgp,floated
flood;inf,flood;3sg,floods;part,flooding;1sgp,flooded
flow;inf,flow;3sg,flows;part,flowing;1sgp,flowed
fly;inf,fly;3sg,flies;part,flying;1sgp,flew;ppart,flown
focus;inf,focus;3sg,focuses;part,focussing;1sgp,focussed
fold;inf,fold;3sg,folds;part,folding;1sgp,folded
follow;inf,follow;3sg,follows;part,following;1sgp,followed
forbid;inf,forbid;3sg,forbids;part,forbidding;1sgp,forbade;ppart,forbidden
force;inf,force;3sg,forces;part,forcing;1sgp,forced
forget;inf,forget;3sg,forgets;part,forgetting;1sgp,forgot;ppart,forgotten
forgive;inf,forgive;3sg,forgives;part,forgiving;1sgp,forgave;ppart,forgiven
form;inf,form;3sg,forms;part,forming;1sgp,formed
formulate;inf,formulate;3sg,formulates;part,formulating;1sgp,formulated
found;inf,find;3sg,finds;part,finding;1sgp,found
free;inf,free;3sg,frees;part,freeing;1sgp,freed
freeze;inf,freeze;3sg,freezes;part,freezing;1sgp,froze;ppart,frozen
frighten;inf,frighten;3sg,frightens;part,frightening;1sgp,frightened
frown;inf,frown;3sg,frowns;part,frowning;1sgp,frowned
fuck;inf,fuck;3sg,fucks;part,fucking;1sgp,fucked
fulfil;inf,fulfil;3sg,fulfils;part,fulfilling;1sgp,fulfilled
function;inf,function;3sg,functions;part,functioning;1sgp,functioned
fund;inf,fund;3sg,funds;part,funding;1sgp,funded
gain;inf,gain;3sg,gains;part,gaining;1sgp,gained
gasp;inf,gasp;3sg,gasps;part,gasping;1sgp,gasped
gather;inf,gather;3sg,gathers;part,gathering;1sgp,gathered
gaze;inf,gaze;3sg,gazes;part,gazing;1sgp,gazed
generate;inf,generate;3sg,generates;part,generating;1sgp,generated
get;inf,get;3sg,gets;part,getting;1sgp,got;ppart,gotten
give;inf,give;3sg,gives;part,giving;1sgp,gave;ppart,given
glance;inf,glance;3sg,glances;part,glancing;1sgp,glanced
go;inf,go;3sg,goes;part,going;1sgp,went;ppart,gone
going;inf,go;3sg,goes;part,going;1sgp,went;ppart,gone
govern;inf,govern;3sg,governs;part,governing;1sgp,governed
