abanderar;inf,abanderar;1sg,abandero;2sg,abanderas;3sg,abandera;1pl,abanderamos;2pl,abanderáis;3pl,abanderan;part,abanderando;2pl!,abanderad;1sg->,abanderaría;2sg->,abanderarías;1pl->,abanderaríamos;2pl->,abanderaríais;3pl->,abanderarían;1sg?,abandere;2sg?,abanderes;1pl?,abanderemos;2pl?,abanderéis;3pl?,abanderen;1sgp,abanderaba;2sgp,abanderabas;1ppl,abanderábamos;2ppl,abanderabais;3ppl,abanderaban;ppart,abanderado;1sgp?,abanderara;2sgp?,abanderaras;1ppl?,abanderáramos;2ppl?,abanderarais;3ppl?,abanderaran;1sgf,abanderaré;2sgf,abanderarás;3sgf,abanderará;1plf,abanderaremos;2plf,abanderaréis;3plf,abanderarán
subir;inf,subir;1sg,subo;2sg,subes;3sg,sube;1pl,subimos;2pl,subís;3pl,suben;part,subiendo;2pl!,subid;1sg->,subiría;2sg->,subirías;1pl->,subiríamos;2pl->,subiríais;3pl->,subirían;1sg?,suba;2sg?,subas;1pl?,subamos;2pl?,subáis;3pl?,suban;1sgp,subía;2sgp,subías;1ppl,subíamos;2ppl,subíais;3ppl,subían;ppart,subido;1sgp?,subiera;2sgp?,subieras;1ppl?,subiéramos;2ppl?,subierais;3ppl?,subieran;1sgf,subiré;2sgf,subirás;3sgf,subirá;1plf,subiremos;2plf,subiréis;3plf,subirán
subrayar;inf,subrayar;1sg,subrayo;2sg,subrayas;3sg,subraya;1pl,subrayamos;2pl,subrayáis;3pl,subrayan;part,subrayando;2pl!,subrayad;1sg->,subrayaría;2sg->,subrayarías;1pl->,subrayaríamos;2pl->,subrayaríais;3pl->,subrayarían;1sg?,subraye;2sg?,subrayes;1pl?,subrayemos;2pl?,subrayéis;3pl?,subrayen;1sgp,subrayaba;2sgp,subrayabas;1ppl,subrayábamos;2ppl,subrayabais;3ppl,subrayaban;ppart,subrayado;1sgp?,subrayara;2sgp?,subrayaras;1ppl?,subrayáramos;2ppl?,subrayarais;3ppl?,subrayaran;1sgf,subrayaré;2sgf,subrayarás;3sgf,subrayará;1plf,subrayaremos;2plf,subrayaréis;3plf,subrayarán
suceder;inf,suceder;1sg,sucedo;2sg,sucedes;3sg,sucede;1pl,sucedemos;2pl,sucedéis;3pl,suceden;part,sucediendo;2pl!,suceded;1sg->,sucedería;2sg->,sucederías;1pl->,sucederíamos;2pl->,sucederíais;3pl->,sucederían;1sg?,suceda;2sg?,sucedas;1pl?,sucedamos;2pl?,sucedáis;3pl?,sucedan;1sgp,sucedía;2sgp,sucedías;1ppl,sucedíamos;2ppl,sucedíais;3ppl,sucedían;ppart,sucedido;1sgp?,sucediera;2sgp?,sucedieras;1ppl?,sucediéramos;2ppl?,sucedierais;3ppl?,sucedieran;1sgf,sucederé;2sgf,sucederás;3sgf,sucederá;1plf,sucederemos;2plf,sucederéis;3plf,sucederán
sufrir;inf,sufrir;1sg,sufro;2sg,sufres;3sg,sufre;1pl,sufrimos;2pl,sufrís;3pl,sufren;part,sufriendo;2pl!,sufrid;1sg->,sufriría;2sg->,sufrirías;1pl->,sufriríamos;2pl->,sufriríais;3pl->,sufrirían;1sg?,sufra;2sg?,sufras;1pl?,suframos;2pl?,sufráis;3pl?,sufran;1sgp,sufría;2sgp,sufrías;1ppl,sufríamos;2ppl,sufríais;3ppl,sufrían;ppart,sufrido;1sgp?,sufriera;2sgp?,sufrieras;1ppl?,sufriéramos;2ppl?,sufrierais;3ppl?,sufrieran;1sgf,sufriré;2sgf,sufrirás;3sgf,sufrirá;1plf,sufriremos;2plf,sufriréis;3plf,sufrirán
sugerir;inf,sugerir;1sg,sugiero;2sg,sugieres;3sg,sugiere;1pl,sugerimos;2pl,sugerís;3pl,sugieren;part,sugiriendo;2pl!,sugerid;1sg->,sugeriría;2sg->,sugerirías;1pl->,sugeriríamos;2pl->,sugeriríais;3pl->,sugerirían;1sg?,sugiera;2sg?,sugieras;1pl?,sugiramos;2pl?,sugiráis;3pl?,sugieran;1sgp,sugería;2sgp,sugerías;1ppl,sugeríamos;2ppl,sugeríais;3ppl,sugerían;ppart,sugerido;1sgp?,sugiriera;2sgp?,sugirieras;1ppl?,sugiriéramos;2ppl?,sugirierais;3ppl?,sugirieran;1sgf,sugeriré;2sgf,sugerirás;3sgf,sugerirá;1plf,sugeriremos;2plf,sugeriréis;3plf,sugerirán
sujetar;inf,sujetar;1sg,sujeto;2sg,sujetas;3sg,sujeta;1pl,sujetamos;2pl,sujetáis;3pl,sujetan;part,sujetando;2pl!,sujetad;1sg->,sujetaría;2sg->,sujetarías;1pl->,sujetaríamos;2pl->,sujetaríais;3pl->,sujetarían;1sg?,sujete;2sg?,sujetes;1pl?,sujetemos;2pl?,sujetéis;3pl?,sujeten;1sgp,sujetaba;2sgp,sujetabas;1ppl,sujetábamos;2ppl,sujetabais;3ppl,sujetaban;ppart,sujetado;1sgp?,sujetara;2sgp?,sujetaras;1ppl?,sujetáramos;2ppl?,sujetarais;3ppl?,sujetaran;1sgf,sujetaré;2sgf,sujetarás;3sgf,sujetará;1plf,sujetaremos;2plf,sujetaréis;3plf,sujetarán
sumar;inf,sumar;1sg,sumo;2sg,sumas;3sg,suma;1pl,sumamos;2pl,sumáis;3pl,suman;part,sumando;2pl!,sumad;1sg->,sumaría;2sg->,sumarías;1pl->,sumaríamos;2pl->,sumaríais;3pl->,sumarían;1sg?,sume;2sg?,sumes;1pl?,sumemos;2pl?,suméis;3pl?,sumen;1sgp,sumaba;2sgp,sumabas;1ppl,sumábamos;2ppl,sumabais;3ppl,sumaban;ppart,sumado;1sgp?,sumara;2sgp?,sumaras;1ppl?,sumáramos;2ppl?,sumarais;3ppl?,sumaran;1sgf,sumaré;2sgf,sumarás;3sgf,sumará;1plf,sumaremos;2plf,sumaréis;3plf,sumarán
sumegir;inf,sumegir;1sg,sumego;2sg,sumeges;3sg,sumege;1pl,sumegimos;2pl,sumegeis;3pl,sumegen;part,sumegiendo;2sg!,sumega;2pl!,sumegid;1sg->,sumegiría;2sg->,sumegirías;1pl->,sumegiríamos;2pl->,sumegiríais;3pl->,sumegirían;2sg?,sumegas;1pl?,sumegamos;2pl?,sumegáis;3pl?,sumegan;1sgp,sumegía;2sgp,sumegías;1ppl,sumegíamos;2ppl,sumegíais;3ppl,sumegían;ppart,sumegido;1sgp?,sumegiera;2sgp?,sumegieras;1ppl?,sumegiéramos;2ppl?,sumegierais;3ppl?,sumegieran;1sgf,sumegiré;2sgf,sumegirás;3sgf,sumegirá;1plf,sumegiremos;2plf,sumegiréis;3plf,sumegirán
superar;inf,superar;1sg,supero;2sg,superas;3sg,supera;1pl,superamos;2pl,superáis;3pl,superan;part,superando;2pl!,superad;1sg->,superaría;2sg->,superarías;1pl->,superaríamos;2pl->,superaríais;3pl->,superarían;1sg?,supere;2sg?,superes;1pl?,superemos;2pl?,superéis;3pl?,superen;1sgp,superaba;2sgp,superabas;1ppl,superábamos;2ppl,superabais;3ppl,superaban;ppart,superado;1sgp?,superara;2sgp?,superaras;1ppl?,superáramos;2ppl?,superarais;3ppl?,superaran;1sgf,superaré;2sgf,superarás;3sgf,superará;1plf,superaremos;2plf,superaréis;3plf,superarán
superponer;inf,superponer;1sg,superpono;2sg,superpones;3sg,superpone;1pl,superponemos;2pl,superponéis;3pl,superponen;part,superponiendo;2sg!,superpona;2pl!,superponed;1sg->,superponería;2sg->,superponerías;1pl->,superponeríamos;2pl->,superponeríais;3pl->,superponerían;2sg?,superponas;1pl?,superponamos;2pl?,superponáis;3pl?,superponan;1sgp,superponía;2sgp,superponías;1ppl,superponíamos;2ppl,superponíais;3ppl,superponían;ppart,superponido;1sgp?,superponiera;2sgp?,superponieras;1ppl?,superponiéramos;2ppl?,superponierais;3ppl?,superponieran;1sgf,superponeré;2sgf,superponerás;3sgf,superponerá;1plf,superponeremos;2plf,superponeréis;3plf,superponerán
supervisar;inf,supervisar;1sg,superviso;2sg,supervisas;3sg,supervisa;1pl,supervisamos;2pl,supervisáis;3pl,supervisan;part,supervisando;2pl!,supervisad;1sg->,supervisaría;2sg->,supervisarías;1pl->,supervisaríamos;2pl->,supervisaríais;3pl->,supervisarían;1sg?,supervise;2sg?,supervises;1pl?,supervisemos;2pl?,superviséis;3pl?,supervisen;1sgp,supervisaba;2sgp,supervisabas;1ppl,supervisábamos;2ppl,supervisabais;3ppl,supervisaban;ppart,supervisado;1sgp?,supervisara;2sgp?,supervisaras;1ppl?,supervisáramos;2ppl?,supervisarais;3ppl?,supervisaran;1sgf,supervisaré;2sgf,supervisarás;3sgf,supervisará;1plf,supervisaremos;2plf,supervisaréis;3plf,supervisarán
suplicar;inf,suplicar;1sg,suplico;2sg,suplicas;3sg,suplica;1pl,suplicamos;2pl,suplicáis;3pl,suplican;part,suplicando;2pl!,suplicad;1sg->,suplicaría;2sg->,suplicarías;1pl->,suplicaríamos;2pl->,suplicaríais;3pl->,suplicarían;1sg?,suplice;2sg?,suplices;1pl?,suplicemos;2pl?,suplicéis;3pl?,suplicen;1sgp,suplicaba;2sgp,suplicabas;1ppl,suplicábamos;2ppl,suplicabais;3ppl,suplicaban;ppart,suplicado;1sgp?,suplicara;2sgp?,suplicaras;1ppl?,suplicáramos;2ppl?,suplicarais;3ppl?,suplicaran;1sgf,suplicaré;2sgf,suplicarás;3sgf,suplicará;1plf,suplicaremos;2plf,suplicaréis;3plf,suplicarán
suponer;inf,suponer;1sg,supongo;2sg,supones;3sg,supone;1pl,suponemos;2pl,suponéis;3pl,suponen;part,suponiendo;2sg!,supón;2pl!,suponed;1sg->,supondría;2sg->,supondrías;1pl->,supondríamos;2pl->,supondríais;3pl->,supondrían;1sg?,suponga;2sg?,supongas;1pl?,supongamos;2pl?,supongáis;3pl?,supongan;1sgp,suponía;2sgp,suponías;1ppl,suponíamos;2ppl,suponíais;3ppl,suponían;ppart,supuesto;1sgp?,supusiera;2sgp?,supusieras;1ppl?,supusiéramos;2ppl?,supusierais;3ppl?,supusieran;1sgf,supondré;2sgf,supondrás;3sgf,supondrá;1plf,supondremos;2plf,supondréis;3plf,supondrán
suprimir;inf,suprimir;1sg,suprimo;2sg,suprimes;3sg,suprime;1pl,suprimimos;2pl,suprimeis;3pl,suprimen;part,suprimiendo;2sg!,suprima;2pl!,suprimid;1sg->,suprimiría;2sg->,suprimirías;1pl->,suprimiríamos;2pl->,suprimiríais;3pl->,suprimirían;2sg?,suprimas;1pl?,suprimamos;2pl?,suprimáis;3pl?,supriman;1sgp,suprimía;2sgp,suprimías;1ppl,suprimíamos;2ppl,suprimíais;3ppl,suprimían;ppart,suprimido;1sgp?,suprimiera;2sgp?,suprimieras;1ppl?,suprimiéramos;2ppl?,suprimierais;3ppl?,suprimieran;1sgf,suprimiré;2sgf,suprimirás;3sgf,suprimirá;1plf,suprimiremos;2plf,suprimiréis;3plf,suprimirán
surgir;inf,surgir;1sg,surjo;2sg,surges;3sg,surge;1pl,surgimos;2pl,surgís;3pl,surgen;part,surgiendo;2pl!,surgid;1sg->,surgiría;2sg->,surgirías;1pl->,surgiríamos;2pl->,surgiríais;3pl->,surgirían;1sg?,surja;2sg?,surjas;1pl?,surjamos;2pl?,surjáis;3pl?,surjan;1sgp,surgía;2sgp,surgías;1ppl,surgíamos;2ppl,surgíais;3ppl,surgían;ppart,surgido;1sgp?,surgiera;2sgp?,surgieras;1ppl?,surgiéramos;2ppl?,surgierais;3ppl?,surgieran;1sgf,surgiré;2sgf,surgirás;3sgf,surgirá;1plf,surgiremos;2plf,surgiréis;3plf,surgirán
suscribir;inf,suscribir;1sg,suscribo;2sg,suscribes;3sg,suscribe;1pl,suscribimos;2pl,suscribeis;3pl,suscriben;part,suscribiendo;2sg!,suscriba;2pl!,suscribid;1sg->,suscribiría;2sg->,suscribirías;1pl->,suscribiríamos;2pl->,suscribiríais;3pl->,suscribirían;2sg?,suscribas;1pl?,suscribamos;2pl?,suscribáis;3pl?,suscriban;1sgp,suscribía;2sgp,suscribías;1ppl,suscribíamos;2ppl,suscribíais;3ppl,suscribían;ppart,suscribido;1sgp?,suscribiera;2sgp?,suscribieras;1ppl?,suscribiéramos;2ppl?,suscribierais;3ppl?,suscribieran;1sgf,suscribiré;2sgf,suscribirás;3sgf,suscribirá;1plf,suscribiremos;2plf,suscribiréis;3plf,suscribirán
suspender;inf,suspender;1sg,suspendo;2sg,suspendes;3sg,suspende;1pl,suspendemos;2pl,suspendéis;3pl,suspenden;part,suspendiendo;2sg!,suspenda;2pl!,suspended;1sg->,suspendería;2sg->,suspenderías;1pl->,suspenderíamos;2pl->,suspenderíais;3pl->,suspenderían;2sg?,suspendas;1pl?,suspendamos;2pl?,suspendáis;3pl?,suspendan;1sgp,suspendía;2sgp,suspendías;1ppl,suspendíamos;2ppl,suspendíais;3ppl,suspendían;ppart,suspendido;1sgp?,suspendiera;2sgp?,suspendieras;1ppl?,suspendiéramos;2ppl?,suspendierais;3ppl?,suspendieran;1sgf,suspenderé;2sgf,suspenderás;3sgf,suspenderá;1plf,suspenderemos;2plf,suspenderéis;3plf,suspenderán
sustituir;inf,sustituir;1sg,sustituyo;2sg,sustituyes;3sg,sustituye;1pl,sustituimos;2pl,sustituís;3pl,sustituyen;part,sustituyendo;2pl!,sustituid;1sg->,sustituiría;2sg->,sustituirías;1pl->,sustituiríamos;2pl->,sustituiríais;3pl->,sustituirían;1sg?,sustituya;2sg?,sustituyas;1pl?,sustituyamos;2pl?,sustituyáis;3pl?,sustituyan;1sgp,sustituía;2sgp,sustituías;1ppl,sustituíamos;2ppl,sustituíais;3ppl,sustituían;ppart,sustituido;1sgp?,sustituyera;2sgp?,sustituyeras;1ppl?,sustituyéramos;2ppl?,sustituyerais;3ppl?,sustituyeran;1sgf,sustituiré;2sgf,sustituirás;3sgf,sustituirá;1plf,sustituiremos;2plf,sustituiréis;3plf,sustituirán
susurrar;inf,susurrar;1sg,susurro;2sg,susurras;3sg,susurra;1pl,susurramos;2pl,susurráis;3pl,susurran;part,susurrando;2pl!,susurrad;1sg->,susurraría;2sg->,susurrarías;1pl->,susurraríamos;2pl->,susurraríais;3pl->,susurrarían;1sg?,susurre;2sg?,susurres;1pl?,susurremos;2pl?,susurréis;3pl?,susurren;1sgp,susurraba;2sgp,susurrabas;1ppl,susurrábamos;2ppl,susurrabais;3ppl,susurraban;ppart,susurrado;1sgp?,susurrara;2sgp?,susurraras;1ppl?,susurráramos;2ppl?,susurrarais;3ppl?,susurraran;1sgf,susurraré;2sgf,susurrarás;3sgf,susurrará;1plf,susurraremos;2plf,susurraréis;3plf,susurrarán
tablear;inf,tablear;1sg,tableo;2sg,tableas;3sg,tablea;1pl,tableamos;2pl,tableáis;3pl,tablean;part,tableando;2pl!,tablead;1sg->,tablearía;2sg->,tablearías;1pl->,tablearíamos;2pl->,tablearíais;3pl->,tablearían;1sg?,tablee;2sg?,tablees;1pl?,tableemos;2pl?,tableéis;3pl?,tableen;1sgp,tableaba;2sgp,tableabas;1ppl,tableábamos;2ppl,tableabais;3ppl,tableaban;ppart,tableado;1sgp?,tableara;2sgp?,tablearas;1ppl?,tableáramos;2ppl?,tablearais;3ppl?,tablearan;1sgf,tablearé;2sgf,tablearás;3sgf,tableará;1plf,tablearemos;2plf,tablearéis;3plf,tablearán
tachar;inf,tachar;1sg,tacho;2sg,tachas;3sg,tacha;1pl,tachamos;2pl,tacháis;3pl,tachan;part,tachando;2pl!,tachad;1sg->,tacharía;2sg->,tacharías;1pl->,tacharíamos;2pl->,tacharíais;3pl->,tacharían;1sg?,tache;2sg?,taches;1pl?,tachemos;2pl?,tachéis;3pl?,tachen;1sgp,tachaba;2sgp,tachabas;1ppl,tachábamos;2ppl,tachabais;3ppl,tachaban;ppart,tachado;1sgp?,tachara;2sgp?,tacharas;1ppl?,tacháramos;2ppl?,tacharais;3ppl?,tacharan;1sgf,tacharé;2sgf,tacharás;3sgf,tachará;1plf,tacharemos;2plf,tacharéis;3plf,tacharán
taladrar;inf,taladrar;1sg,taladro;2sg,taladras;3sg,taladra;1pl,taladramos;2pl,taladráis;3pl,taladran;part,taladrando;2pl!,taladrad;1sg->,taladraría;2sg->,taladrarías;1pl->,taladraríamos;2pl->,taladraríais;3pl->,taladrarían;1sg?,taladre;2sg?,taladres;1pl?,taladremos;2pl?,taladréis;3pl?,taladren;1sgp,taladraba;2sgp,taladrabas;1ppl,taladrábamos;2ppl,taladrabais;3ppl,taladraban;ppart,taladrado;1sgp?,taladrara;2sgp?,taladraras;1ppl?,taladráramos;2ppl?,taladrarais;3ppl?,taladraran;1sgf,taladraré;2sgf,taladrarás;3sgf,taladrará;1plf,taladraremos;2plf,taladraréis;3plf,taladrarán
tallar;inf,tallar;1sg,tallo;2sg,tallas;3sg,talla;1pl,tallamos;2pl,talláis;3pl,tallan;part,tallando;2pl!,tallad;1sg->,tallaría;2sg->,tallarías;1pl->,tallaríamos;2pl->,tallaríais;3pl->,tallarían;1sg?,talle;2sg?,talles;1pl?,tallemos;2pl?,talléis;3pl?,tallen;1sgp,tallaba;2sgp,tallabas;1ppl,tallábamos;2ppl,tallabais;3ppl,tallaban;ppart,tallado;1sgp?,tallara;2sgp?,tallaras;1ppl?,talláramos;2ppl?,tallarais;3ppl?,tallaran;1sgf,tallaré;2sgf,tallarás;3sgf,tallará;1plf,tallaremos;2plf,tallaréis;3plf,tallarán
tamizar;inf,tamizar;1sg,tamizo;2sg,tamizas;3sg,tamiza;1pl,tamizamos;2pl,tamizáis;3pl,tamizan;part,tamizando;2pl!,tamizad;1sg->,tamizaría;2sg->,tamizarías;1pl->,tamizaríamos;2pl->,tamizaríais;3pl->,tamizarían;1sg?,tamize;2sg?,tamizes;1pl?,tamizemos;2pl?,tamizéis;3pl?,tamizen;1sgp,tamizaba;2sgp,tamizabas;1ppl,tamizábamos;2ppl,tamizabais;3ppl,tamizaban;ppart,tamizado;1sgp?,tamizara;2sgp?,tamizaras;1ppl?,tamizáramos;2ppl?,tamizarais;3ppl?,tamizaran;1sgf,tamizaré;2sgf,tamizarás;3sgf,tamizará;1plf,tamizaremos;2plf,tamizaréis;3plf,tamizarán
tapar;inf,tapar;1sg,tapo;2sg,tapas;3sg,tapa;1pl,tapamos;2pl,tapáis;3pl,tapan;part,tapando;2pl!,tapad;1sg->,taparía;2sg->,taparías;1pl->,taparíamos;2pl->,taparíais;3pl->,taparían;1sg?,tape;2sg?,tapes;1pl?,tapemos;2pl?,tapéis;3pl?,tapen;1sgp,tapaba;2sgp,tapabas;1ppl,tapábamos;2ppl,tapabais;3ppl,tapaban;ppart,tapado;1sgp?,tapara;2sgp?,taparas;1ppl?,tapáramos;2ppl?,taparais;3ppl?,taparan;1sgf,taparé;2sgf,taparás;3sgf,tapará;1plf,taparemos;2plf,taparéis;3plf,taparán
tararear;inf,tararear;1sg,tarareo;2sg,tarareas;3sg,tararea;1pl,tarareamos;2pl,tarareáis;3pl,tararean;part,tarareando;2pl!,tararead;1sg->,tararearía;2sg->,tararearías;1pl->,tararearíamos;2pl->,tararearíais;3pl->,tararearían;1sg?,tararee;2sg?,tararees;1pl?,tarareemos;2pl?,tarareéis;3pl?,tarareen;1sgp,tarareaba;2sgp,tarareabas;1ppl,tarareábamos;2ppl,tarareabais;3ppl,tarareaban;ppart,tarareado;1sgp?,tarareara;2sgp?,tararearas;1ppl?,tarareáramos;2ppl?,tararearais;3ppl?,tararearan;1sgf,tararearé;2sgf,tararearás;3sgf,tarareará;1plf,tararearemos;2plf,tararearéis;3plf,tararearán
tardar;inf,tardar;1sg,tardo;2sg,tardas;3sg,tarda;1pl,tardamos;2pl,tardáis;3pl,tardan;part,tardando;2pl!,tardad;1sg->,tardaría;2sg->,tardarías;1pl->,tardaríamos;2pl->,tardaríais;3pl->,tardarían;1sg?,tarde;2sg?,tardes;1pl?,tardemos;2pl?,tardéis;3pl?,tarden;1sgp,tardaba;2sgp,tardabas;1ppl,tardábamos;2ppl,tardabais;3ppl,tardaban;ppart,tardado;1sgp?,tardara;2sgp?,tardaras;1ppl?,tardáramos;2ppl?,tardarais;3ppl?,tardaran;1sgf,tardaré;2sgf,tardarás;3sgf,tardará;1plf,tardaremos;2plf,tardaréis;3plf,tardarán
tejer;inf,tejer;1sg,tejo;2sg,tejes;3sg,teje;1pl,tejemos;2pl,tejéis;3pl,tejen;part,tejiendo;2sg!,teja;2pl!,tejed;1sg->,tejería;2sg->,tejerías;1pl->,tejeríamos;2pl->,tejeríais;3pl->,tejerían;2sg?,tejas;1pl?,tejamos;2pl?,tejáis;3pl?,tejan;1sgp,tejía;2sgp,tejías;1ppl,tejíamos;2ppl,tejíais;3ppl,tejían;ppart,tejido;1sgp?,tejiera;2sgp?,tejieras;1ppl?,tejiéramos;2ppl?,tejierais;3ppl?,tejieran;1sgf,tejeré;2sgf,tejerás;3sgf,tejerá;1plf,tejeremos;2plf,tejeréis;3plf,tejerán
temblar;inf,temblar;1sg,temblo;2sg,temblas;3sg,tembla;1pl,temblamos;2pl,tembláis;3pl,temblan;part,temblando;2pl!,temblad;1sg->,temblaría;2sg->,temblarías;1pl->,temblaríamos;2pl->,temblaríais;3pl->,temblarían;1sg?,temble;2sg?,tembles;1pl?,temblemos;2pl?,tembléis;3pl?,temblen;1sgp,temblaba;2sgp,temblabas;1ppl,temblábamos;2ppl,temblabais;3ppl,temblaban;ppart,temblado;1sgp?,temblara;2sgp?,temblaras;1ppl?,tembláramos;2ppl?,temblarais;3ppl?,temblaran;1sgf,temblaré;2sgf,temblarás;3sgf,temblará;1plf,temblaremos;2plf,temblaréis;3plf,temblarán
temer;inf,temer;1sg,temo;2sg,temes;3sg,teme;1pl,tememos;2pl,teméis;3pl,temen;part,temiendo;2pl!,temed;1sg->,temería;2sg->,temerías;1pl->,temeríamos;2pl->,temeríais;3pl->,temerían;1sg?,tema;2sg?,temas;1pl?,temamos;2pl?,temáis;3pl?,teman;1sgp,temía;2sgp,temías;1ppl,temíamos;2ppl,temíais;3ppl,temían;ppart,temido;1sgp?,temiera;2sgp?,temieras;1ppl?,temiéramos;2ppl?,temierais;3ppl?,temieran;1sgf,temeré;2sgf,temerás;3sgf,temerá;1plf,temeremos;2plf,temeréis;3plf,temerán
tender;inf,tender;1sg,tendo;2sg,tendes;3sg,tende;1pl,tendemos;2pl,tendéis;3pl,tenden;part,tendiendo;2sg!,tenda;2pl!,tended;1sg->,tendería;2sg->,tenderías;1pl->,tenderíamos;2pl->,tenderíais;3pl->,tenderían;2sg?,tendas;1pl?,tendamos;2pl?,tendáis;3pl?,tendan;1sgp,tendía;2sgp,tendías;1ppl,tendíamos;2ppl,tendíais;3ppl,tendían;ppart,tendido;1sgp?,tendiera;2sgp?,tendieras;1ppl?,tendiéramos;2ppl?,tendierais;3ppl?,tendieran;1sgf,tenderé;2sgf,tenderás;3sgf,tenderá;1plf,tenderemos;2plf,tenderéis;3plf,tenderán
tener;inf,tener;1sg,tengo;2sg,tienes;3sg,tiene;1pl,tenemos;2pl,tenéis;3pl,tienen;part,teniendo;2sg!,ten;2pl!,tened;1sg->,tendría;2sg->,tendrías;1pl->,tendríamos;2pl->,tendríais;3pl->,tendrían;1sg?,tenga;2sg?,tengas;1pl?,tengamos;2pl?,tengáis;3pl?,tengan;1sgp,tenía;2sgp,tenías;1ppl,teníamos;2ppl,teníais;3ppl,tenían;ppart,tenido;1sgp?,tuviera;2sgp?,tuvieras;1ppl?,tuviéramos;2ppl?,tuvierais;3ppl?,tuvieran;1sgf,tendré;2sgf,tendrás;3sgf,tendrá;1plf,tendremos;2plf,tendréis;3plf,tendrán
terminar;inf,terminar;1sg,termino;2sg,terminas;3sg,termina;1pl,terminamos;2pl,termináis;3pl,terminan;part,terminando;2pl!,terminad;1sg->,terminaría;2sg->,terminarías;1pl->,terminaríamos;2pl->,terminaríais;3pl->,terminarían;1sg?,termine;2sg?,termines;1pl?,terminemos;2pl?,terminéis;3pl?,terminen;1sgp,terminaba;2sgp,terminabas;1ppl,terminábamos;2ppl,terminabais;3ppl,terminaban;ppart,terminado;1sgp?,terminara;2sgp?,terminaras;1ppl?,termináramos;2ppl?,terminarais;3ppl?,terminaran;1sgf,terminaré;2sgf,terminarás;3sgf,terminará;1plf,terminaremos;2plf,terminaréis;3plf,terminarán
teñir;inf,teñir;1sg,tiño;2sg,tiñes;3sg,tiñe;1pl,teñimos;2pl,teñís;3pl,tiñen;part,tiñendo;2pl!,teñid;1sg->,teñiría;2sg->,teñirías;1pl->,teñiríamos;2pl->,teñiríais;3pl->,teñirían;1sg?,tiña;2sg?,tiñas;1pl?,tiñamos;2pl?,tiñáis;3pl?,tiñan;1sgp,teñía;2sgp,teñías;1ppl,teñíamos;2ppl,teñíais;3ppl,teñían;ppart,teñido;1sgp?,tiñera;2sgp?,tiñeras;1ppl?,tiñéramos;2ppl?,tiñerais;3ppl?,tiñeran;1sgf,teñiré;2sgf,teñirás;3sgf,teñirá;1plf,teñiremos;2plf,teñiréis;3plf,teñirán
tirar;inf,tirar;1sg,tiro;2sg,tiras;3sg,tira;1pl,tiramos;2pl,tiráis;3pl,tiran;part,tirando;2pl!,tirad;1sg->,tiraría;2sg->,tirarías;1pl->,tiraríamos;2pl->,tiraríais;3pl->,tirarían;1sg?,tire;2sg?,tires;1pl?,tiremos;2pl?,tiréis;3pl?,tiren;1sgp,tiraba;2sgp,tirabas;1ppl,tirábamos;2ppl,tirabais;3ppl,tiraban;ppart,tirado;1sgp?,tirara;2sgp?,tiraras;1ppl?,tiráramos;2ppl?,tirarais;3ppl?,tiraran;1sgf,tiraré;2sgf,tirarás;3sgf,tirará;1plf,tiraremos;2plf,tiraréis;3plf,tirarán
tocar;inf,tocar;1sg,toco;2sg,tocas;3sg,toca;1pl,tocamos;2pl,tocáis;3pl,tocan;part,tocando;2pl!,tocad;1sg->,tocaría;2sg->,tocarías;1pl->,tocaríamos;2pl->,tocaríais;3pl->,tocarían;1sg?,toque;2sg?,toques;1pl?,toquemos;2pl?,toquéis;3pl?,toquen;1sgp,tocaba;2sgp,tocabas;1ppl,tocábamos;2ppl,tocabais;3ppl,tocaban;ppart,tocado;1sgp?,tocara;2sgp?,tocaras;1ppl?,tocáramos;2ppl?,tocarais;3ppl?,tocaran;1sgf,tocaré;2sgf,tocarás;3sgf,tocará;1plf,tocaremos;2plf,tocaréis;3plf,tocarán
tolerar;inf,tolerar;1sg,tolero;2sg,toleras;3sg,tolera;1pl,toleramos;2pl,toleráis;3pl,toleran;part,tolerando;2pl!,tolerad;1sg->,toleraría;2sg->,tolerarías;1pl->,toleraríamos;2pl->,toleraríais;3pl->,tolerarían;1sg?,tolere;2sg?,toleres;1pl?,toleremos;2pl?,toleréis;3pl?,toleren;1sgp,toleraba;2sgp,tolerabas;1ppl,tolerábamos;2ppl,tolerabais;3ppl,toleraban;ppart,tolerado;1sgp?,tolerara;2sgp?,toleraras;1ppl?,toleráramos;2ppl?,tolerarais;3ppl?,toleraran;1sgf,toleraré;2sgf,tolerarás;3sgf,tolerará;1plf,toleraremos;2plf,toleraréis;3plf,tolerarán
tomar;inf,tomar;1sg,tomo;2sg,tomas;3sg,toma;1pl,tomamos;2pl,tomáis;3pl,toman;part,tomando;2pl!,tomad;1sg->,tomaría;2sg->,tomarías;1pl->,tomaríamos;2pl->,tomaríais;3pl->,tomarían;1sg?,tome;2sg?,tomes;1pl?,tomemos;2pl?,toméis;3pl?,tomen;1sgp,tomaba;2sgp,tomabas;1ppl,tomábamos;2ppl,tomabais;3ppl,tomaban;ppart,tomado;1sgp?,tomara;2sgp?,tomaras;1ppl?,tomáramos;2ppl?,tomarais;3ppl?,tomaran;1sgf,tomaré;2sgf,tomarás;3sgf,tomará;1plf,tomaremos;2plf,tomaréis;3plf,tomarán
